a,dt
forum,nn
likely,jj
to,to
bring,vb
new,jj
attention,nn
to,to
the,dt
problem,nn
.,.
a,dt
lorillard,nnp
spokewoman,nn
said,vbd
",",","
``,``
this,dt
is,vbz
an,dt
old,jj
story,nn
.,.
we,prp
're,vbp
talking,vbg
about,in
years,nns
ago,in
before,in
anyone,nn
heard,vbd
of,in
asbestos,nn
having,vbg
any,dt
questionable,jj
properties,nns
.,.
there,ex
is,vbz
no,dt
asbestos,nn
in,in
our,prp$
products,nns
now,rb
.,.
'',''
neither,dt
lorillard,nnp
nor,cc
the,dt
researchers,nns
who,wp
studied,vbd
the,dt
workers,nns
were,vbd
aware,jj
of,in
any,dt
research,nn
on,in
smokers,nns
of,in
the,dt
kent,nnp
cigarettes,nns
.,.
``,``
we,prp
have,vbp
no,dt
useful,jj
information,nn
on,in
whether,in
users,nns
are,vbp
at,in
risk,nn
",",","
'',''
said,vbd
james,nnp
a.,nnp
talcott,nnp
of,in
boston,nnp
's,pos
dana-farber,nnp
cancer,nnp
institute,nnp
.,.
dr.,nnp
talcott,nnp
led,vbd
a,dt
team,nn
of,in
researchers,nns
from,in
the,dt
national,nnp
cancer,nnp
institute,nnp
and,cc
the,dt
medical,jj
schools,nns
of,in
harvard,nnp
university,nnp
and,cc
boston,nnp
university,nnp
.,.
the,dt
lorillard,nnp
spokeswoman,nn
said,vbd
asbestos,nn
was,vbd
used,vbn
in,in
``,``
very,rb
modest,jj
amounts,nns
'',''
in,in
making,vbg
paper,nn
for,in
the,dt
filters,nns
in,in
the,dt
early,jj
1950s,cd
and,cc
replaced,vbn
with,in
a,dt
different,jj
type,nn
of,in
filter,nn
in,in
1956,cd
.,.
from,in
1953,cd
to,to
1955,cd
",",","
9.8,cd
billion,cd
kent,nnp
cigarettes,nns
with,in
the,dt
filters,nns
were,vbd
sold,vbn
",",","
the,dt
company,nn
said,vbd
.,.
among,in
33,cd
men,nns
who,wp
worked,vbd
closely,rb
with,in
the,dt
substance,nn
",",","
28,cd
have,vbp
died,vbn
--,:
more,jj
than,in
three,cd
times,nns
the,dt
expected,vbn
number,nn
.,.
four,cd
of,in
the,dt
five,cd
surviving,vbg
workers,nns
have,vbp
asbestos-related,jj
diseases,nns
",",","
including,vbg
three,cd
with,in
recently,rb
diagnosed,vbn
cancer,nn
.,.
the,dt
total,nn
of,in
18,cd
deaths,nns
from,in
malignant,jj
mesothelioma,nn
",",","
lung,nn
cancer,nn
and,cc
asbestosis,nn
was,vbd
far,rb
higher,jjr
than,in
expected,vbn
",",","
the,dt
researchers,nns
said,vbd
.,.
``,``
the,dt
morbidity,nn
rate,nn
is,vbz
a,dt
striking,jj
finding,nn
among,in
those,dt
of,in
us,prp
who,wp
study,vbp
asbestos-related,jj
diseases,nns
",",","
'',''
said,vbd
dr.,nnp
talcott,nnp
.,.
the,dt
percentage,nn
of,in
lung,nn
cancer,nn
deaths,nns
among,in
the,dt
workers,nns
at,in
the,dt
west,nnp
groton,nnp
",",","
mass.,nnp
",",","
paper,nn
factory,nn
appears,vbz
to,to
be,vb
the,dt
highest,jjs
for,in
any,dt
asbestos,nn
workers,nns
studied,vbn
in,in
western,jj
industrialized,vbn
countries,nns
",",","
he,prp
said,vbd
.,.
the,dt
plant,nn
",",","
which,wdt
is,vbz
owned,vbn
by,in
hollingsworth,nnp
&,cc
vose,nnp
co.,nnp
",",","
was,vbd
under,in
contract,nn
with,in
lorillard,nn
to,to
make,vb
the,dt
cigarette,nn
filters,nns
.,.
the,dt
finding,nn
probably,rb
will,md
support,vb
those,dt
who,wp
argue,vbp
that,in
the,dt
u.s.,nnp
should,md
regulate,vb
the,dt
class,nn
of,in
asbestos,nn
including,vbg
crocidolite,nn
more,rbr
stringently,rb
than,in
the,dt
common,jj
kind,nn
of,in
asbestos,nn
",",","
chrysotile,nn
",",","
found,vbn
in,in
most,jjs
schools,nns
and,cc
other,jj
buildings,nns
",",","
dr.,nnp
talcott,nnp
said,vbd
.,.
the,dt
u.s.,nnp
is,vbz
one,cd
of,in
the,dt
few,jj
industrialized,vbn
nations,nns
that,wdt
does,vbz
n't,rb
have,vb
a,dt
higher,jjr
standard,nn
of,in
regulation,nn
for,in
the,dt
smooth,jj
",",","
needle-like,jj
fibers,nns
such,jj
as,in
crocidolite,nn
that,wdt
are,vbp
classified,vbn
as,in
amphobiles,nns
",",","
according,vbg
to,to
brooke,nnp
t.,nnp
mossman,nnp
",",","
a,dt
professor,nn
of,in
pathlogy,nn
at,in
the,dt
university,nnp
of,in
vermont,nnp
college,nnp
of,in
medicine,nnp
.,.
more,rbr
common,jj
chrysotile,nn
fibers,nns
are,vbp
curly,jj
and,cc
are,vbp
more,rbr
easily,rb
rejected,vbn
by,in
the,dt
body,nn
",",","
dr.,nnp
mossman,nnp
explained,vbd
.,.
in,in
july,nnp
",",","
the,dt
environmental,nnp
protection,nnp
agency,nnp
imposed,vbd
a,dt
gradual,jj
ban,nn
on,in
virtually,rb
all,dt
uses,nns
of,in
asbestos,nn
.,.
by,in
1997,cd
",",","
almost,rb
all,dt
remaining,vbg
uses,nns
of,in
cancer-causing,jj
asbestos,nn
will,md
be,vb
outlawed,vbn
.,.
about,in
160,cd
workers,nns
at,in
a,dt
factory,nn
that,wdt
made,vbd
paper,nn
for,in
the,dt
kent,nnp
filters,nns
were,vbd
exposed,vbn
to,to
asbestos,nn
in,in
the,dt
1950s,cd
.,.
areas,nns
of,in
the,dt
factory,nn
were,vbd
particularly,rb
dusty,jj
where,wrb
the,dt
crocidolite,nn
was,vbd
used,vbn
.,.
workers,nns
dumped,vbd
large,jj
burlap,nn
sacks,nns
of,in
the,dt
imported,vbn
material,nn
into,in
a,dt
huge,jj
bin,nn
",",","
poured,vbd
in,in
cotton,nn
and,cc
acetate,nn
fibers,nns
and,cc
mechanically,rb
mixed,vbd
the,dt
dry,jj
fibers,nns
in,in
a,dt
process,nn
used,vbn
to,to
make,vb
filters,nns
.,.
workers,nns
described,vbd
``,``
clouds,nns
of,in
blue,jj
dust,nn
'',''
that,wdt
hung,vbd
over,in
parts,nns
of,in
the,dt
factory,nn
",",","
even,rb
though,in
exhaust,nn
fans,nns
ventilated,vbd
the,dt
area,nn
.,.
``,``
there,ex
's,vbz
no,dt
question,nn
that,in
some,dt
of,in
those,dt
workers,nns
and,cc
managers,nns
contracted,vbd
asbestos-related,jj
diseases,nns
",",","
'',''
said,vbd
darrell,nnp
phillips,nnp
",",","
vice,nn
president,nn
of,in
human,jj
resources,nns
for,in
hollingsworth,nnp
&,cc
vose,nnp
.,.
``,``
but,cc
you,prp
have,vbp
to,to
recognize,vb
that,in
these,dt
events,nns
took,vbd
place,nn
35,cd
years,nns
ago,in
.,.
it,prp
has,vbz
no,dt
bearing,nn
on,in
our,prp$
work,nn
force,nn
today,nn
.,.
'',''
yields,nns
on,in
money-market,jj
mutual,jj
funds,nns
continued,vbd
to,to
slide,vb
",",","
amid,in
signs,nns
that,in
portfolio,nn
managers,nns
expect,vbp
further,jj
declines,nns
in,in
interest,nn
rates,nns
.,.
the,dt
average,jj
seven-day,jj
compound,nn
yield,nn
of,in
the,dt
400,cd
taxable,jj
funds,nns
tracked,vbn
by,in
ibc,nnp
's,pos
money,nnp
fund,nnp
report,nnp
eased,vbd
a,dt
fraction,nn
of,in
a,dt
percentage,nn
point,nn
to,to
8.45,cd
%,nn
from,in
8.47,cd
%,nn
for,in
the,dt
week,nn
ended,vbd
tuesday,nnp
.,.
compound,nn
yields,nns
assume,vbp
reinvestment,nn
of,in
dividends,nns
and,cc
that,in
the,dt
current,jj
yield,nn
continues,vbz
for,in
a,dt
year,nn
.,.
average,jj
maturity,nn
of,in
the,dt
funds,nns
',pos
investments,nns
lengthened,vbd
by,in
a,dt
day,nn
to,to
41,cd
days,nns
",",","
the,dt
longest,jjs
since,in
early,jj
august,nnp
",",","
according,vbg
to,to
donoghue,nnp
's,pos
.,.
longer,jjr
maturities,nns
are,vbp
thought,vbn
to,to
indicate,vb
declining,vbg
interest,nn
rates,nns
because,in
they,prp
permit,vbp
portfolio,nn
managers,nns
to,to
retain,vb
relatively,rb
higher,jjr
rates,nns
for,in
a,dt
longer,jjr
period,nn
.,.
shorter,jjr
maturities,nns
are,vbp
considered,vbn
a,dt
sign,nn
of,in
rising,vbg
rates,nns
because,in
portfolio,nn
managers,nns
can,md
capture,vb
higher,jjr
rates,nns
sooner,rb
.,.
the,dt
average,jj
maturity,nn
for,in
funds,nns
open,jj
only,rb
to,to
institutions,nns
",",","
considered,vbn
by,in
some,dt
to,to
be,vb
a,dt
stronger,jjr
indicator,nn
because,in
those,dt
managers,nns
watch,vbp
the,dt
market,nn
closely,rb
",",","
reached,vbd
a,dt
high,jj
point,nn
for,in
the,dt
year,nn
--,:
33,cd
days,nns
.,.
nevertheless,rb
",",","
said,vbd
brenda,nnp
malizia,nnp
negus,nnp
",",","
editor,nn
of,in
money,nnp
fund,nnp
report,nnp
",",","
yields,nns
``,``
may,md
blip,vb
up,rp
again,rb
before,in
they,prp
blip,vbp
down,rp
'',''
because,in
of,in
recent,jj
rises,nns
in,in
short-term,jj
interest,nn
rates,nns
.,.
the,dt
yield,nn
on,in
six-month,jj
treasury,nnp
bills,nns
sold,vbn
at,in
monday,nnp
's,pos
auction,nn
",",","
for,in
example,nn
",",","
rose,vbd
to,to
8.04,cd
%,nn
from,in
7.90,cd
%,nn
.,.
despite,in
recent,jj
declines,nns
in,in
yields,nns
",",","
investors,nns
continue,vbp
to,to
pour,vb
cash,nn
into,in
money,nn
funds,nns
.,.
assets,nns
of,in
the,dt
400,cd
taxable,jj
funds,nns
grew,vbd
by,in
$,$
1.5,cd
billion,cd
during,in
the,dt
latest,jjs
week,nn
",",","
to,to
$,$
352.7,cd
billion,cd
.,.
typically,rb
",",","
money-fund,nn
yields,nns
beat,vbp
comparable,jj
short-term,jj
investments,nns
because,in
portfolio,nn
managers,nns
can,md
vary,vb
maturities,nns
and,cc
go,vb
after,in
the,dt
highest,jjs
rates,nns
.,.
the,dt
top,jj
money,nn
funds,nns
are,vbp
currently,rb
yielding,vbg
well,rb
over,in
9,cd
%,nn
.,.
dreyfus,nnp
world-wide,nnp
dollar,nnp
",",","
the,dt
top-yielding,jj
fund,nn
",",","
had,vbd
a,dt
seven-day,jj
compound,nn
yield,nn
of,in
9.37,cd
%,nn
during,in
the,dt
latest,jjs
week,nn
",",","
down,rb
from,in
9.45,cd
%,nn
a,dt
week,nn
earlier,jjr
.,.
it,prp
invests,vbz
heavily,rb
in,in
dollar-denominated,jj
securities,nns
overseas,rb
and,cc
is,vbz
currently,rb
waiving,vbg
management,nn
fees,nns
",",","
which,wdt
boosts,vbz
its,prp$
yield,nn
.,.
the,dt
average,jj
seven-day,jj
simple,jj
yield,nn
of,in
the,dt
400,cd
funds,nns
was,vbd
8.12,cd
%,nn
",",","
down,rb
from,in
8.14,cd
%,nn
.,.
the,dt
30-day,jj
simple,jj
yield,nn
fell,vbd
to,to
an,dt
average,jj
8.19,cd
%,nn
from,in
8.22,cd
%,nn
;,:
the,dt
30-day,jj
compound,nn
yield,nn
slid,vbd
to,to
an,dt
average,jj
8.53,cd
%,nn
from,in
8.56,cd
%,nn
.,.
j.p.,nnp
bolduc,nnp
",",","
vice,nn
chairman,nn
of,in
w.r.,nnp
grace,nnp
&,cc
co.,nnp
",",","
which,wdt
holds,vbz
a,dt
83.4,cd
%,nn
interest,nn
in,in
this,dt
energy-services,jj
company,nn
",",","
was,vbd
elected,vbn
a,dt
director,nn
.,.
he,prp
succeeds,vbz
terrence,nnp
d.,nnp
daniels,nnp
",",","
formerly,rb
a,dt
w.r.,nnp
grace,nnp
vice,nn
chairman,nn
",",","
who,wp
resigned,vbd
.,.
w.r.,nnp
grace,nnp
holds,vbz
three,cd
of,in
grace,nnp
energy,nnp
's,pos
seven,cd
board,nn
seats,nns
.,.
pacific,nnp
first,nnp
financial,nnp
corp.,nnp
said,vbd
shareholders,nns
approved,vbd
its,prp$
acquisition,nn
by,in
royal,nnp
trustco,nnp
ltd.,nnp
of,in
toronto,nnp
for,in
$,$
27,cd
a,dt
share,nn
",",","
or,cc
$,$
212,cd
million,cd
.,.
the,dt
thrift,nn
holding,vbg
company,nn
said,vbd
it,prp
expects,vbz
to,to
obtain,vb
regulatory,jj
approval,nn
and,cc
complete,vb
the,dt
transaction,nn
by,in
year-end,nn
.,.
mcdermott,nnp
international,nnp
inc.,nnp
said,vbd
its,prp$
babcock,nnp
&,cc
wilcox,nnp
unit,nn
completed,vbd
the,dt
sale,nn
of,in
its,prp$
bailey,nnp
controls,nnp
operations,nnp
to,to
finmeccanica,nnp
s.p,nnp
.,.
a.,nnp
for,in
$,$
295,cd
million,cd
.,.
finmeccanica,nnp
is,vbz
an,dt
italian,jj
state-owned,jj
holding,vbg
company,nn
with,in
interests,nns
in,in
the,dt
mechanical,jj
engineering,nn
industry,nn
.,.
bailey,nnp
controls,nnp
",",","
based,vbn
in,in
wickliffe,nnp
",",","
ohio,nnp
",",","
makes,vbz
computerized,jj
industrial,jj
controls,nns
systems,nns
.,.
it,prp
employs,vbz
"2,700",cd
people,nns
and,cc
has,vbz
annual,jj
revenue,nn
of,in
about,in
$,$
370,cd
million,cd
.,.
the,dt
federal,jj
government,nn
suspended,vbd
sales,nns
of,in
u.s.,nnp
savings,nns
bonds,nns
because,in
congress,nnp
has,vbz
n't,rb
lifted,vbn
the,dt
ceiling,nn
on,in
government,nn
debt,nn
.,.
until,in
congress,nnp
acts,vbz
",",","
the,dt
government,nn
has,vbz
n't,rb
any,dt
authority,nn
to,to
issue,vb
new,jj
debt,nn
obligations,nns
of,in
any,dt
kind,nn
",",","
the,dt
treasury,nnp
said,vbd
.,.
the,dt
government,nn
's,pos
borrowing,nn
authority,nn
dropped,vbd
at,in
midnight,nn
tuesday,nnp
to,to
$,$
2.80,cd
trillion,cd
from,in
$,$
2.87,cd
trillion,cd
.,.
legislation,nn
to,to
lift,vb
the,dt
debt,nn
ceiling,nn
is,vbz
ensnarled,vbn
in,in
the,dt
fight,nn
over,in
cutting,vbg
capital-gains,jj
taxes,nns
.,.
the,dt
house,nnp
has,vbz
voted,vbn
to,to
raise,vb
the,dt
ceiling,nn
to,to
$,$
3.1,cd
trillion,cd
",",","
but,cc
the,dt
senate,nnp
is,vbz
n't,rb
expected,vbn
to,to
act,vb
until,in
next,jj
week,nn
at,in
the,dt
earliest,jjs
.,.
the,dt
treasury,nnp
said,vbd
the,dt
u.s.,nnp
will,md
default,vb
on,in
nov.,nnp
9,cd
if,in
congress,nnp
does,vbz
n't,rb
act,vb
by,in
then,rb
.,.
clark,nnp
j.,nnp
vitulli,nnp
was,vbd
named,vbn
senior,jj
vice,nn
president,nn
and,cc
general,jj
manager,nn
of,in
this,dt
u.s.,nnp
sales,nns
and,cc
marketing,nn
arm,nn
of,in
japanese,jj
auto,nn
maker,nn
mazda,nnp
motor,nnp
corp,nnp
.,.
in,in
the,dt
new,jj
position,nn
he,prp
will,md
oversee,vb
mazda,nnp
's,pos
u.s.,nnp
sales,nns
",",","
service,nn
",",","
parts,nns
and,cc
marketing,nn
operations,nns
.,.
previously,rb
",",","
mr.,nnp
vitulli,nnp
",",","
43,cd
years,nns
old,jj
",",","
was,vbd
general,jj
marketing,nn
manager,nn
of,in
chrysler,nnp
corp.,nnp
's,pos
chrysler,nnp
division,nn
.,.
he,prp
had,vbd
been,vbn
a,dt
sales,nns
and,cc
marketing,nn
executive,nn
with,in
chrysler,nnp
for,in
20,cd
years,nns
.,.
when,wrb
it,prp
's,vbz
time,nn
for,in
their,prp$
biannual,jj
powwow,nn
",",","
the,dt
nation,nn
's,pos
manufacturing,vbg
titans,nns
typically,rb
jet,vbp
off,rp
to,to
the,dt
sunny,jj
confines,nns
of,in
resort,nn
towns,nns
like,in
boca,nnp
raton,nnp
and,cc
hot,nnp
springs,nnp
.,.
not,rb
this,dt
year,nn
.,.
the,dt
national,nnp
association,nnp
of,in
manufacturers,nnp
settled,vbd
on,in
the,dt
hoosier,nnp
capital,nn
of,in
indianapolis,nnp
for,in
its,prp$
fall,nn
board,nn
meeting,nn
.,.
and,cc
the,dt
city,nn
decided,vbd
to,to
treat,vb
its,prp$
guests,nns
more,jjr
like,in
royalty,nn
or,cc
rock,nn
stars,nns
than,in
factory,nn
owners,nns
.,.
the,dt
idea,nn
",",","
of,in
course,nn
:,:
to,to
prove,vb
to,to
125,cd
corporate,jj
decision,nn
makers,nns
that,in
the,dt
buckle,nn
on,in
the,dt
rust,nnp
belt,nnp
is,vbz
n't,rb
so,rb
rusty,jj
after,in
all,dt
",",","
that,in
it,prp
's,vbz
a,dt
good,jj
place,nn
for,in
a,dt
company,nn
to,to
expand,vb
.,.
on,in
the,dt
receiving,vbg
end,nn
of,in
the,dt
message,nn
were,vbd
officials,nns
from,in
giants,nns
like,in
du,nnp
pont,nnp
and,cc
maytag,nnp
",",","
along,in
with,in
lesser,jjr
knowns,nns
like,in
trojan,nnp
steel,nnp
and,cc
the,dt
valley,nnp
queen,nnp
cheese,nnp
factory,nnp
.,.
for,in
starters,nns
",",","
the,dt
executives,nns
joined,vbd
mayor,nnp
william,nnp
h.,nnp
hudnut,nnp
iii,nnp
for,in
an,dt
evening,nn
of,in
the,dt
indianapolis,nnp
symphony,nnp
orchestra,nnp
and,cc
a,dt
guest,nn
pianist-comedian,nn
victor,nnp
borge,nnp
.,.
champagne,nn
and,cc
dessert,nn
followed,vbd
.,.
the,dt
next,jj
morning,nn
",",","
with,in
a,dt
police,nn
escort,nn
",",","
busloads,nns
of,in
executives,nns
and,cc
their,prp$
wives,nns
raced,vbd
to,to
the,dt
indianapolis,nnp
motor,nnp
speedway,nnp
",",","
unimpeded,jj
by,in
traffic,nn
or,cc
red,jj
lights,nns
.,.
the,dt
governor,nn
could,md
n't,rb
make,vb
it,prp
",",","
so,in
the,dt
lieutenant,nn
governor,nn
welcomed,vbd
the,dt
special,jj
guests,nns
.,.
a,dt
buffet,nn
breakfast,nn
was,vbd
held,vbn
in,in
the,dt
museum,nn
",",","
where,wrb
food,nn
and,cc
drinks,nns
are,vbp
banned,vbn
to,to
everyday,jj
visitors,nns
.,.
then,rb
",",","
in,in
the,dt
guests,nns
',pos
honor,nn
",",","
the,dt
speedway,nn
hauled,vbd
out,in
four,cd
drivers,nns
",",","
crews,nns
and,cc
even,rb
the,dt
official,jj
indianapolis,nnp
500,cd
announcer,nn
for,in
a,dt
10-lap,jj
exhibition,nn
race,nn
.,.
after,in
the,dt
race,nn
",",","
fortune,nnp
500,cd
executives,nns
drooled,vbd
like,in
schoolboys,nns
over,in
the,dt
cars,nns
and,cc
drivers,nns
.,.
no,dt
dummies,nns
",",","
the,dt
drivers,nns
pointed,vbd
out,in
they,prp
still,rb
had,vbd
space,nn
on,in
their,prp$
machines,nns
for,in
another,dt
sponsor,nn
's,pos
name,nn
or,cc
two,cd
.,.
back,rb
downtown,nn
",",","
the,dt
execs,nns
squeezed,vbd
in,in
a,dt
few,jj
meetings,nns
at,in
the,dt
hotel,nn
before,in
boarding,vbg
the,dt
buses,nns
again,rb
.,.
this,dt
time,nn
",",","
it,prp
was,vbd
for,in
dinner,nn
and,cc
dancing,nn
--,:
a,dt
block,nn
away,rb
.,.
under,in
the,dt
stars,nns
and,cc
moons,nns
of,in
the,dt
renovated,vbn
indiana,nnp
roof,nnp
ballroom,nn
",",","
nine,cd
of,in
the,dt
hottest,jjs
chefs,nns
in,in
town,nn
fed,vbd
them,prp
indiana,nnp
duckling,nn
mousseline,nn
",",","
lobster,nn
consomme,nn
",",","
veal,nn
mignon,nn
and,cc
chocolate,jj
terrine,nn
with,in
a,dt
raspberry,nn
sauce,nn
.,.
knowing,vbg
a,dt
tasty,jj
--,:
and,cc
free,jj
--,:
meal,nn
when,wrb
they,prp
eat,vbp
one,cd
",",","
the,dt
executives,nns
gave,vbd
the,dt
chefs,nns
a,dt
standing,jj
ovation,nn
.,.
more,jjr
than,in
a,dt
few,jj
ceos,nns
say,vbp
the,dt
red-carpet,jj
treatment,nn
tempts,vbz
them,prp
to,to
return,vb
to,to
a,dt
heartland,nn
city,nn
for,in
future,jj
meetings,nns
.,.
but,cc
for,in
now,rb
",",","
they,prp
're,vbp
looking,vbg
forward,rb
to,to
their,prp$
winter,nn
meeting,nn
--,:
boca,nnp
in,in
february,nnp
.,.
south,nnp
korea,nnp
registered,vbd
a,dt
trade,nn
deficit,nn
of,in
$,$
101,cd
million,cd
in,in
october,nnp
",",","
reflecting,vbg
the,dt
country,nn
's,pos
economic,jj
sluggishness,nn
",",","
according,vbg
to,to
government,nn
figures,nns
released,vbd
wednesday,nnp
.,.
preliminary,jj
tallies,nns
by,in
the,dt
trade,nnp
and,cc
industry,nnp
ministry,nnp
showed,vbd
another,dt
trade,nn
deficit,nn
in,in
october,nnp
",",","
the,dt
fifth,jj
monthly,jj
setback,nn
this,dt
year,nn
",",","
casting,vbg
a,dt
cloud,nn
on,in
south,nnp
korea,nnp
's,pos
export-oriented,jj
economy,nn
.,.
exports,nns
in,in
october,nnp
stood,vbd
at,in
$,$
5.29,cd
billion,cd
",",","
a,dt
mere,jj
0.7,cd
%,nn
increase,nn
from,in
a,dt
year,nn
earlier,jjr
",",","
while,in
imports,nns
increased,vbd
sharply,rb
to,to
$,$
5.39,cd
billion,cd
",",","
up,rb
20,cd
%,nn
from,in
last,jj
october,nnp
.,.
south,nnp
korea,nnp
's,pos
economic,jj
boom,nn
",",","
which,wdt
began,vbd
in,in
1986,cd
",",","
stopped,vbd
this,dt
year,nn
because,in
of,in
prolonged,vbn
labor,nn
disputes,nns
",",","
trade,nn
conflicts,nns
and,cc
sluggish,jj
exports,nns
.,.
government,nn
officials,nns
said,vbd
exports,nns
at,in
the,dt
end,nn
of,in
the,dt
year,nn
would,md
remain,vb
under,in
a,dt
government,nn
target,nn
of,in
$,$
68,cd
billion,cd
.,.
despite,in
the,dt
gloomy,jj
forecast,nn
",",","
south,nnp
korea,nnp
has,vbz
recorded,vbn
a,dt
trade,nn
surplus,nn
of,in
$,$
71,cd
million,cd
so,in
far,in
this,dt
year,nn
.,.
from,in
january,nnp
to,to
october,nnp
",",","
the,dt
nation,nn
's,pos
accumulated,vbn
exports,nns
increased,vbd
4,cd
%,nn
from,in
the,dt
same,jj
period,nn
last,jj
year,nn
to,to
$,$
50.45,cd
billion,cd
.,.
imports,nns
were,vbd
at,in
$,$
50.38,cd
billion,cd
",",","
up,rb
19,cd
%,nn
.,.
newsweek,nnp
",",","
trying,vbg
to,to
keep,vb
pace,nn
with,in
rival,jj
time,nnp
magazine,nn
",",","
announced,vbd
new,jj
advertising,nn
rates,nns
for,in
1990,cd
and,cc
said,vbd
it,prp
will,md
introduce,vb
a,dt
new,jj
incentive,nn
plan,nn
for,in
advertisers,nns
.,.
the,dt
new,jj
ad,nn
plan,nn
from,in
newsweek,nnp
",",","
a,dt
unit,nn
of,in
the,dt
washington,nnp
post,nnp
co.,nnp
",",","
is,vbz
the,dt
second,jj
incentive,nn
plan,nn
the,dt
magazine,nn
has,vbz
offered,vbn
advertisers,nns
in,in
three,cd
years,nns
.,.
plans,nns
that,wdt
give,vbp
advertisers,nns
discounts,nns
for,in
maintaining,vbg
or,cc
increasing,vbg
ad,nn
spending,nn
have,vbp
become,vbn
permanent,jj
fixtures,nns
at,in
the,dt
news,nn
weeklies,nns
and,cc
underscore,vbp
the,dt
fierce,jj
competition,nn
between,in
newsweek,nnp
",",","
time,nnp
warner,nnp
inc.,nnp
's,pos
time,nnp
magazine,nn
",",","
and,cc
mortimer,nnp
b.,nnp
zuckerman,nnp
's,pos
u.s.,nnp
news,nnp
&,cc
world,nnp
report,nnp
.,.
alan,nnp
spoon,nnp
",",","
recently,rb
named,vbn
newsweek,nnp
president,nn
",",","
said,vbd
newsweek,nnp
's,pos
ad,nn
rates,nns
would,md
increase,vb
5,cd
%,nn
in,in
january,nnp
.,.
a,dt
full,jj
",",","
four-color,jj
page,nn
in,in
newsweek,nnp
will,md
cost,vb
$,$
"100,980",cd
.,.
in,in
mid-october,nnp
",",","
time,nnp
magazine,nn
lowered,vbd
its,prp$
guaranteed,vbn
circulation,nn
rate,nn
base,nn
for,in
1990,cd
while,in
not,rb
increasing,vbg
ad,nn
page,nn
rates,nns
;,:
with,in
a,dt
lower,jjr
circulation,nn
base,nn
",",","
time,nnp
's,pos
ad,nn
rate,nn
will,md
be,vb
effectively,rb
7.5,cd
%,nn
higher,jjr
per,in
subscriber,nn
;,:
a,dt
full,jj
page,nn
in,in
time,nnp
costs,vbz
about,in
$,$
"120,000",cd
.,.
u.s.,nnp
news,nnp
has,vbz
yet,rb
to,to
announce,vb
its,prp$
1990,cd
ad,nn
rates,nns
.,.
newsweek,nnp
said,vbd
it,prp
will,md
introduce,vb
the,dt
circulation,nnp
credit,nnp
plan,nnp
",",","
which,wdt
awards,vbz
space,nn
credits,nns
to,to
advertisers,nns
on,in
``,``
renewal,nn
advertising,nn
.,.
'',''
the,dt
magazine,nn
will,md
reward,vb
with,in
``,``
page,nn
bonuses,nns
'',''
advertisers,nns
who,wp
in,in
1990,cd
meet,vbp
or,cc
exceed,vbp
their,prp$
1989,cd
spending,nn
",",","
as,rb
long,rb
as,in
they,prp
spent,vbd
$,$
"325,000",cd
in,in
1989,cd
and,cc
$,$
"340,000",cd
in,in
1990,cd
.,.
mr.,nnp
spoon,nnp
said,vbd
the,dt
plan,nn
is,vbz
not,rb
an,dt
attempt,nn
to,to
shore,vb
up,in
a,dt
decline,nn
in,in
ad,nn
pages,nns
in,in
the,dt
first,jj
nine,cd
months,nns
of,in
1989,cd
;,:
newsweek,nnp
's,pos
ad,nn
pages,nns
totaled,vbd
"1,620",cd
",",","
